EPOCH_yyyy-mm-ddThh:mm:ss.sssZ,PROTON_DENSITY_#/cm^3,PROTON_SPEED_km/s
2008-12-14T00:02:26.000Z,2.84120,371.410
2008-12-14T00:14:24.000Z,2.72360,379.010
2008-12-14T00:26:29.000Z,2.39190,411.250
2008-12-14T00:38:26.000Z,2.51810,412.070
2008-12-14T00:50:32.000Z,2.66570,405.240
2008-12-14T01:02:29.000Z,2.65260,410.850
2008-12-14T01:14:26.000Z,2.71420,409.040
2008-12-14T01:26:32.000Z,2.47820,400.390
2008-12-14T01:38:29.000Z,2.33770,410.430
2008-12-14T01:50:35.000Z,2.14590,396.750
2008-12-14T02:02:32.000Z,2.74480,406.560
2008-12-14T02:14:38.000Z,2.26310,412.320
2008-12-14T02:26:35.000Z,2.14770,411.230
2008-12-14T02:38:41.000Z,2.92300,405.170
2008-12-14T02:50:38.000Z,2.81670,401.850
2008-12-14T03:02:44.000Z,2.67100,393.540
2008-12-14T03:14:41.000Z,2.32910,377.830
2008-12-14T03:26:47.000Z,2.50250,377.390
2008-12-14T03:38:44.000Z,2.14260,374.130
2008-12-14T03:50:49.000Z,2.14200,371.480
2008-12-14T04:02:47.000Z,2.66970,365.490
2008-12-14T04:14:52.000Z,2.20600,355.830
2008-12-14T04:26:49.000Z,1.90600,358.810
2008-12-14T04:38:55.000Z,1.87260,371.770
2008-12-14T04:50:52.000Z,1.77480,368.520
2008-12-14T05:02:49.000Z,1.74500,366.480
2008-12-14T05:14:55.000Z,2.22280,365.850
2008-12-14T05:26:52.000Z,2.78090,392.990
2008-12-14T05:38:58.000Z,2.94250,388.080
2008-12-14T05:50:55.000Z,2.54900,385.170
2008-12-14T06:03:01.000Z,2.98990,366.070
2008-12-14T06:14:58.000Z,2.72130,351.930
2008-12-14T06:27:04.000Z,2.91700,355.300
2008-12-14T06:39:01.000Z,2.98930,354.330
2008-12-14T06:51:07.000Z,2.73320,353.030
2008-12-14T07:03:04.000Z,2.51230,349.480
2008-12-14T07:15:10.000Z,2.84730,350.260
2008-12-14T07:27:07.000Z,2.62730,348.670
2008-12-14T07:39:12.000Z,2.33010,360.090
2008-12-14T07:51:10.000Z,2.84750,353.700
2008-12-14T08:03:15.000Z,3.88450,359.590
2008-12-14T08:15:12.000Z,3.00050,354.680
2008-12-14T08:27:18.000Z,2.84360,352.260
2008-12-14T08:39:15.000Z,2.87520,348.280
2008-12-14T08:51:21.000Z,3.27870,350.090
2008-12-14T09:03:18.000Z,3.24950,350.200
2008-12-14T09:15:15.000Z,3.45560,348.690
2008-12-14T09:27:21.000Z,3.05960,348.770
2008-12-14T09:39:18.000Z,2.35060,348.530
2008-12-14T09:51:24.000Z,2.75110,348.590
2008-12-14T10:03:21.000Z,2.95320,346.600
2008-12-14T10:15:27.000Z,3.11360,345.100
2008-12-14T10:27:24.000Z,3.02540,346.520
2008-12-14T10:39:30.000Z,2.84620,345.940
2008-12-14T10:51:27.000Z,3.46530,342.990
2008-12-14T11:03:33.000Z,3.59470,345.600
2008-12-14T11:15:30.000Z,3.40170,347.800
2008-12-14T11:27:36.000Z,3.40670,345.740
2008-12-14T11:39:33.000Z,3.65390,344.970
2008-12-14T11:51:38.000Z,3.21160,347.920
2008-12-14T12:03:36.000Z,3.79200,346.430
2008-12-14T12:15:41.000Z,3.93390,347.270
2008-12-14T12:27:38.000Z,3.81570,344.620
2008-12-14T12:39:44.000Z,3.55970,342.280
2008-12-14T12:51:41.000Z,4.98260,342.350
2008-12-14T13:03:47.000Z,4.79350,340.510
2008-12-14T13:15:44.000Z,4.20270,342.820
2008-12-14T13:27:41.000Z,3.50800,340.270
2008-12-14T13:39:47.000Z,3.68500,342.320
2008-12-14T13:51:44.000Z,3.88400,339.180
2008-12-14T14:03:50.000Z,2.78530,347.140
2008-12-14T14:15:47.000Z,3.38890,351.410
2008-12-14T14:27:53.000Z,3.21660,347.110
2008-12-14T14:39:50.000Z,3.89400,340.160
2008-12-14T14:51:56.000Z,3.60590,348.960
2008-12-14T15:03:53.000Z,3.01290,350.470
2008-12-14T15:15:59.000Z,3.46810,346.460
2008-12-14T15:27:56.000Z,3.39650,347.560
2008-12-14T15:40:01.000Z,2.14200,345.490
2008-12-14T15:51:59.000Z,2.31000,327.240
2008-12-14T16:04:04.000Z,2.02480,327.630
2008-12-14T16:16:01.000Z,1.82010,329.420
2008-12-14T16:28:07.000Z,2.87810,332.090
2008-12-14T16:40:04.000Z,3.02800,332.210
2008-12-14T16:52:10.000Z,2.96090,328.720
2008-12-14T17:04:07.000Z,2.90320,328.900
2008-12-14T17:16:04.000Z,2.34850,325.460
2008-12-14T17:28:10.000Z,1.80750,320.240
2008-12-14T17:40:07.000Z,2.97830,321.240
2008-12-14T17:52:13.000Z,2.61650,318.540
2008-12-14T18:04:10.000Z,2.55140,321.300
2008-12-14T18:16:16.000Z,3.60320,338.260
2008-12-14T18:28:13.000Z,3.55520,334.240
2008-12-14T18:40:19.000Z,3.54020,331.540
2008-12-14T18:52:16.000Z,3.53890,332.250
2008-12-14T19:04:22.000Z,3.89660,335.590
2008-12-14T19:16:19.000Z,2.93720,337.790
2008-12-14T19:28:24.000Z,3.91750,339.450
2008-12-14T19:40:22.000Z,4.16010,336.000
2008-12-14T19:52:27.000Z,3.75500,340.290
2008-12-14T20:04:24.000Z,4.14100,342.090
2008-12-14T20:16:30.000Z,4.04560,340.660
2008-12-14T20:28:27.000Z,4.19460,337.090
2008-12-14T20:40:33.000Z,4.42640,335.640
2008-12-14T20:52:30.000Z,3.73020,328.720
2008-12-14T21:04:36.000Z,4.58180,333.930
2008-12-14T21:16:33.000Z,4.79310,331.130
2008-12-14T21:28:30.000Z,2.90230,327.260
2008-12-14T21:40:36.000Z,4.53510,328.410
2008-12-14T21:52:42.000Z,4.87370,326.830
2008-12-14T22:04:39.000Z,4.92090,330.320
2008-12-14T22:16:36.000Z,4.78130,328.050
2008-12-14T22:28:42.000Z,4.99330,331.430
2008-12-14T22:40:39.000Z,5.57920,318.100
2008-12-14T22:52:45.000Z,5.41240,325.160
2008-12-14T23:04:42.000Z,6.10250,329.930
2008-12-14T23:16:48.000Z,6.29690,331.290
2008-12-14T23:28:45.000Z,7.18680,332.580
2008-12-14T23:40:50.000Z,4.93940,332.580
2008-12-14T23:52:48.000Z,7.12240,335.290
2008-12-15T00:04:53.000Z,7.60490,338.570
2008-12-15T00:16:50.000Z,7.66170,334.690
2008-12-15T00:28:56.000Z,8.48420,332.120
2008-12-15T00:40:53.000Z,7.10330,329.590
2008-12-15T00:52:59.000Z,8.46250,332.800
2008-12-15T01:04:56.000Z,9.75830,330.540
2008-12-15T01:17:02.000Z,8.82080,330.910
2008-12-15T01:28:59.000Z,10.0330,336.690
2008-12-15T01:41:05.000Z,6.62960,335.240
2008-12-15T01:53:02.000Z,6.59150,335.130
2008-12-15T02:05:08.000Z,8.95050,333.410
2008-12-15T02:17:05.000Z,8.07790,337.440
2008-12-15T02:29:02.000Z,8.10000,331.670
2008-12-15T02:41:08.000Z,8.67850,332.250
2008-12-15T02:53:05.000Z,9.16900,333.260
2008-12-15T03:05:11.000Z,10.6710,333.370
2008-12-15T03:17:08.000Z,9.29690,333.610
2008-12-15T03:29:13.000Z,7.72130,333.180
2008-12-15T03:41:11.000Z,10.1410,329.580
2008-12-15T03:53:16.000Z,10.2790,327.770
2008-12-15T04:05:13.000Z,6.93060,328.870
2008-12-15T04:17:19.000Z,9.89820,331.380
2008-12-15T04:29:16.000Z,9.94460,333.600
2008-12-15T04:41:22.000Z,10.7310,330.520
2008-12-15T04:53:19.000Z,11.7950,330.570
2008-12-15T05:05:25.000Z,10.6520,328.200
2008-12-15T05:17:22.000Z,11.8950,331.840
2008-12-15T05:29:28.000Z,10.1220,332.030
2008-12-15T05:41:25.000Z,9.08790,336.220
2008-12-15T05:53:31.000Z,9.83950,335.500
2008-12-15T06:05:28.000Z,9.88700,338.790
2008-12-15T06:17:34.000Z,5.25480,322.010
2008-12-15T06:29:31.000Z,8.17000,324.750
2008-12-15T06:41:28.000Z,8.51760,327.990
2008-12-15T06:53:34.000Z,8.85580,321.690
2008-12-15T07:05:31.000Z,5.96320,321.300
2008-12-15T07:17:36.000Z,7.53710,319.690
2008-12-15T07:29:34.000Z,6.43180,317.820
2008-12-15T07:41:39.000Z,7.60430,316.200
2008-12-15T07:53:36.000Z,5.54660,317.520
2008-12-15T08:05:42.000Z,5.15080,313.600
2008-12-15T08:17:39.000Z,8.17970,316.950
2008-12-15T08:29:45.000Z,4.74040,314.760
2008-12-15T08:41:42.000Z,9.81820,318.290
2008-12-15T08:53:48.000Z,9.78970,330.470
2008-12-15T09:05:45.000Z,9.80020,330.370
2008-12-15T09:17:51.000Z,8.90490,331.070
2008-12-15T09:29:48.000Z,8.65210,329.270
2008-12-15T09:41:54.000Z,8.48410,331.640
2008-12-15T09:53:51.000Z,9.17970,330.150
2008-12-15T10:05:57.000Z,11.2450,331.510
2008-12-15T10:17:54.000Z,10.2990,332.960
2008-12-15T10:30:00.000Z,11.6890,330.390
2008-12-15T10:41:57.000Z,6.07210,326.470
2008-12-15T10:53:54.000Z,9.71860,327.710
2008-12-15T11:06:00.000Z,8.41240,324.840
2008-12-15T11:17:57.000Z,9.04660,325.400
2008-12-15T11:30:02.000Z,8.40680,324.230
2008-12-15T11:42:00.000Z,10.0090,322.950
2008-12-15T11:54:05.000Z,9.28200,323.790
2008-12-15T12:06:02.000Z,9.89410,324.550
2008-12-15T12:18:08.000Z,12.1540,325.580
2008-12-15T12:30:05.000Z,9.56530,327.830
2008-12-15T12:42:11.000Z,7.21490,329.390
2008-12-15T12:54:08.000Z,4.67080,328.640
2008-12-15T13:06:14.000Z,7.80160,330.100
2008-12-15T13:18:11.000Z,6.91390,328.410
2008-12-15T13:30:17.000Z,7.11870,327.270
2008-12-15T13:42:14.000Z,7.07860,327.210
2008-12-15T13:54:20.000Z,6.15410,318.490
2008-12-15T14:06:17.000Z,6.45860,321.230
2008-12-15T14:18:23.000Z,7.96710,322.290
2008-12-15T14:30:20.000Z,6.53080,321.300
2008-12-15T14:42:25.000Z,6.48270,326.410
2008-12-15T14:54:23.000Z,9.49730,322.350
2008-12-15T15:06:20.000Z,5.44260,322.750
2008-12-15T15:18:25.000Z,8.21210,320.460
2008-12-15T15:30:23.000Z,7.91550,321.950
2008-12-15T15:42:28.000Z,8.73460,319.650
2008-12-15T15:54:25.000Z,7.51440,320.150
2008-12-15T16:06:31.000Z,8.03900,321.130
